Numéro,Nom_rue_role,Nb_Logements,Logements_HLM_Familles,Logements_HLM_Personnes âgées,Logements_HLM_Autres,Type_projet,Type_programme,Année_Origine,Année_Effective,Arrondissement,Quartier_Référence,Nom_Villes_liées,Nom Projet,AireDiffusion_ID,longitude,latitude,Xnad83,Ynad83
1543,Michael,44,0,0,0,Coop,Autres,1988,1991,,87,Beaconsfield,C.h. Beaconsfield,24662299,-73.852518919481,45.4360583536565,277219.395643216,5032963.28585666
64395,Côte-Saint-Luc,94,0,0,0,Coop,Autres,1976,,,83,Côte-Saint-Luc,C.h. Côte-Saint-Luc,24660849,-73.6501875774678,45.471022378164,293056.784570089,5036799.34285521
1581,Louise-Lamy,33,0,0,0,Coop,Autres,1993,,,85,Dorval,C.h. Haus Der Heimat,24662243,-73.7478375740423,45.4471830919682,285413.332363734,5034168.9985248
1856,Notre-Dame,66,0,0,0,Coop,AL,2003,,,80,Montréal-Est,C.h. le Fleuve de l'espoir,24660057,-73.5132879676494,45.6221589296701,303763.790028992,5053584.46474478
1860,David,47,0,0,0,Coop,AL,2003,,,80,Montréal-Est,C.h. les Rives du St-Laurent,24660057,-73.5132879676494,45.6221589296701,303763.790028992,5053584.46474478
1579,Ernest,40,0,0,0,Coop,Autres,1987,1990,,89,Dollard-Des-Ormeaux,C.h. Néerlandaise de Montréal métropolitain,24663034,-73.8456917443206,45.4850606023449,277776.963375267,5038406.56903223
1580,Saint-Jean,47,0,0,0,Coop,Autres,1990,,,89,Dollard-Des-Ormeaux,C.h. Nord-Ouest,24663034,-73.8456917443206,45.4850606023449,277776.963375267,5038406.56903223
1526,Sauvé,40,0,0,0,Coop,Autres,1992,,Ahuntsic-Cartierville,4,,C.h. À tout hasard de Mtl,24662587,-73.6493434202702,45.5625526214734,293141.705538805,5046971.04503175
1530,Coopératives,28,0,0,0,Coop,Autres,1981,,Ahuntsic-Cartierville,5,,C.h. Alfred Rouleau,24662594,-73.637900021197,45.5568725215239,294033.934425579,5046338.20760343
1532,Coopératives,18,0,0,0,Coop,Autres,1981,,Ahuntsic-Cartierville,5,,C.h. Alphonse Desjardins,24662594,-73.637900021197,45.5568725215239,294033.934425579,5046338.20760343
